Generation,AverageFitness,BestFitness,WorstFitness
163,104673.80,106820.00,98410.00
164,104685.87,106820.00,97330.00
165,104628.70,106820.00,98070.00
166,104538.11,106820.00,97590.00
167,104582.91,106820.00,98550.00
168,104639.23,106820.00,94490.00
169,104496.15,106820.00,97550.00
170,104599.39,106820.00,97550.00
171,104542.06,106820.00,94450.00
172,104565.16,106820.00,98430.00
173,104552.71,106820.00,97890.00
174,104567.98,106820.00,97750.00
175,104538.73,106850.00,95570.00
176,104581.16,106850.00,97150.00
177,104600.82,106850.00,95310.00
178,104645.57,106850.00,97370.00
179,104626.89,106850.00,97890.00
180,104651.88,106850.00,98630.00
181,104721.48,106850.00,98910.00
182,104742.12,106850.00,97790.00
183,104720.09,106850.00,98530.00
184,104749.78,106850.00,97790.00
185,104716.05,106850.00,96890.00
186,104832.29,106850.00,99370.00
187,104763.56,106850.00,97350.00
188,104821.36,106850.00,98010.00
189,104911.82,106850.00,97990.00
190,104975.88,106850.00,99230.00
191,105069.26,106850.00,99610.00
192,105064.43,106850.00,99670.00
193,105202.87,106850.00,99770.00
194,105266.25,106850.00,100170.00
195,105331.30,106850.00,98710.00
196,105386.38,106850.00,101090.00
197,105374.73,106850.00,101170.00
198,105278.83,106850.00,99650.00
199,105341.23,106850.00,99730.00
200,105384.98,106850.00,100490.00
201,105395.11,106850.00,97570.00
202,105473.91,106850.00,99490.00
203,105361.66,106850.00,98930.00
204,105340.30,106850.00,98330.00
205,105377.06,106850.00,100170.00
206,105341.98,106850.00,99650.00
207,105317.42,106850.00,100670.00
208,105322.47,106880.00,98870.00
209,105363.98,106880.00,99390.00
210,105337.13,106880.00,99590.00
211,105361.78,106910.00,98730.00
212,105371.27,106910.00,99990.00
213,105348.30,106910.00,100930.00
214,105431.28,106910.00,100310.00
215,105377.94,106910.00,99530.00
216,105410.48,106910.00,98690.00
217,105320.57,106910.00,98630.00
218,105327.45,106910.00,98990.00
219,105340.86,106910.00,100050.00
220,105380.66,106910.00,98810.00
221,105352.86,106910.00,99170.00
222,105278.34,106910.00,101030.00
223,105364.38,106910.00,100350.00
224,105332.76,106910.00,100790.00
225,105298.86,106910.00,99410.00
226,105343.93,106910.00,100350.00
227,105311.98,106910.00,98190.00
228,105312.16,106910.00,99170.00
229,105298.61,106910.00,98730.00
230,105384.06,106910.00,99670.00
231,105420.72,106910.00,99970.00
232,105410.42,106910.00,100490.00
233,105401.43,106910.00,100710.00
234,105415.18,106910.00,99470.00
235,105507.52,106910.00,101290.00
236,105534.14,106910.00,101350.00
237,105502.22,106910.00,100090.00
238,105490.93,106910.00,101290.00
239,105506.00,106910.00,101290.00
240,105497.07,106910.00,98310.00
241,105532.68,106910.00,100930.00
242,105476.27,106910.00,100230.00
243,105438.54,106910.00,100130.00
244,105414.37,106910.00,100550.00
245,105464.88,106910.00,99530.00
246,105449.24,106910.00,99630.00
247,105439.39,106910.00,100350.00
248,105410.23,106910.00,99410.00
249,105480.86,106910.00,100350.00
250,105466.88,106910.00,101110.00
251,105423.02,106910.00,101470.00
252,105471.66,106910.00,100730.00
253,105493.96,106910.00,101030.00
254,105504.93,106910.00,100710.00
255,105549.55,106910.00,101490.00
256,105532.98,106910.00,101410.00
257,105524.45,106910.00,100310.00
258,105476.26,106910.00,97130.00
259,105530.73,106910.00,99410.00
260,105548.57,106910.00,99910.00
261,105452.67,106910.00,99670.00
262,105427.00,106910.00,100790.00
263,105480.25,106910.00,101350.00
264,105456.40,106910.00,100030.00
265,105457.88,106910.00,100590.00
266,105462.69,106910.00,100970.00
267,105493.37,106910.00,100430.00
268,105460.41,106910.00,99710.00
269,105462.64,106910.00,100170.00
270,105445.20,106910.00,99850.00
271,105472.55,106910.00,100930.00
272,105470.11,106910.00,100570.00
273,105483.34,106910.00,99350.00
274,105491.70,106910.00,101150.00
275,105484.38,106910.00,100990.00
276,105512.86,106910.00,99950.00
277,105505.95,106910.00,101210.00
278,105521.05,106910.00,100970.00
279,105481.35,106910.00,100170.00
280,105455.07,106910.00,100610.00
281,105458.28,106910.00,101050.00
282,105445.16,106910.00,100850.00
283,105501.29,106910.00,99110.00
284,105559.48,106910.00,99370.00
285,105513.35,106910.00,100530.00
286,105445.51,106910.00,100350.00
287,105477.38,106910.00,100970.00
288,105420.66,106910.00,99550.00
289,105503.60,106910.00,100870.00
290,105498.75,106910.00,101150.00
291,105490.52,106910.00,99930.00
292,105534.03,106910.00,99990.00
293,105519.95,106910.00,101050.00
294,105494.80,106910.00,100190.00
295,105472.81,106910.00,101470.00
296,105482.52,106910.00,100290.00
297,105468.90,106910.00,101410.00
298,105439.17,106910.00,99770.00
299,105435.30,106910.00,100870.00
300,105525.23,106910.00,99470.00
301,105511.09,106910.00,99990.00
302,105523.56,106910.00,100610.00
303,105494.80,106910.00,100290.00
304,105502.04,106910.00,100650.00
305,105488.38,106910.00,98870.00
306,105568.12,106910.00,101250.00
307,105480.89,106910.00,100170.00
308,105436.34,106910.00,98110.00
309,105454.32,106910.00,98110.00
310,105482.93,106910.00,100790.00
311,105505.93,106910.00,100230.00
312,105516.16,106910.00,100910.00
313,105510.80,106910.00,100850.00
314,105493.80,106910.00,99370.00
315,105521.04,106910.00,101470.00
316,105537.57,106910.00,100670.00
317,105523.95,106910.00,99370.00
318,105531.44,106910.00,101590.00
319,105494.07,106910.00,99670.00
320,105471.73,106910.00,99410.00
321,105535.20,106910.00,101010.00
322,105464.34,106910.00,99390.00
323,105453.20,106910.00,99370.00
324,105416.91,106910.00,101230.00
325,105445.66,106910.00,100110.00
326,105449.71,106910.00,100850.00
327,105527.34,106910.00,100930.00
328,105452.45,106910.00,101450.00
329,105485.75,106910.00,98990.00
330,105398.13,106910.00,100530.00
331,105422.62,106910.00,99830.00
332,105488.51,106910.00,100590.00
333,105455.09,106910.00,99490.00
334,105508.62,106910.00,100850.00
335,105409.08,106910.00,100190.00
336,105464.77,106910.00,100730.00
337,105412.56,106910.00,101150.00
338,105467.38,106910.00,99470.00
339,105514.12,106910.00,98570.00
340,105546.98,106910.00,100530.00
341,105512.28,106910.00,99610.00
342,105453.74,106910.00,100230.00
343,105469.45,106910.00,101550.00
344,105534.96,106910.00,100410.00
345,105529.25,106910.00,101590.00
346,105560.88,106910.00,100790.00
347,105516.45,106910.00,100470.00
348,105536.93,106910.00,101030.00
349,105565.23,106910.00,100710.00
350,105488.07,106910.00,101290.00
351,105513.94,106910.00,101590.00
352,105487.05,106910.00,100170.00
353,105441.16,106910.00,99410.00
354,105526.17,106910.00,99690.00
355,105499.91,106910.00,100590.00
356,105423.66,106910.00,100050.00
357,105459.81,106910.00,100590.00
358,105462.46,106910.00,100050.00
359,105526.02,106970.00,100590.00
360,105519.34,106970.00,98930.00
361,105496.35,106970.00,100410.00
362,105515.20,106970.00,99870.00
363,105510.44,106970.00,100990.00
364,105524.70,106970.00,100290.00
365,105549.43,106970.00,100670.00
366,105507.97,106970.00,100930.00
367,105479.21,106970.00,101250.00
368,105484.77,106970.00,101410.00
369,105492.50,106970.00,101470.00
370,105454.73,106970.00,100230.00
371,105429.40,106970.00,100470.00
372,105413.20,106970.00,100290.00
373,105402.12,106970.00,99990.00
374,105455.81,106970.00,100910.00
375,105500.34,106970.00,100470.00
376,105437.02,106970.00,100290.00
377,105455.28,106970.00,100210.00
378,105482.42,106970.00,99850.00
379,105487.93,106970.00,98750.00
380,105429.37,106970.00,99170.00
381,105414.91,106970.00,98110.00
382,105454.48,106970.00,100470.00
383,105500.91,106970.00,100650.00
384,105479.95,106970.00,100230.00
385,105479.01,106970.00,99810.00
386,105436.45,106970.00,99870.00
387,105453.52,106970.00,101110.00
388,105448.54,106970.00,100230.00
389,105489.37,106970.00,101070.00
390,105397.81,106970.00,99810.00
391,105453.95,106970.00,100690.00
392,105504.53,106970.00,99730.00
393,105516.14,106970.00,100410.00
394,105502.98,106970.00,99230.00
395,105469.95,106970.00,100350.00
396,105494.81,106970.00,100870.00
397,105477.66,106970.00,100230.00
398,105493.66,106970.00,100110.00
399,105444.12,106970.00,100770.00
400,105434.07,106970.00,100470.00
401,105449.35,106970.00,99550.00
402,105417.75,106970.00,99290.00
